pincode,district,state,latitude,longitude
110001,New Delhi,Delhi,28.6205,77.2129
110002,Central,Delhi,28.6339,77.2419
110003,South East,Delhi,28.5870,77.2274
110004,New Delhi,Delhi,28.6211,77.1961
110005,Central,Delhi,28.6536,77.1918
110006,Central,Delhi,28.6507,77.2256
110007,North,Delhi,28.6785,77.2061
110008,West,Delhi,28.6454,77.1697
110009,North,Delhi,28.7063,77.2021
110010,New Delhi,Delhi,28.5845,77.1364
110011,New Delhi,Delhi,28.6110,77.2138
110012,West,Delhi,28.6369,77.1660
110013,South East,Delhi,28.5912,77.2423
110014,South,Delhi,28.5819,77.2516
110015,West,Delhi,28.6592,77.1356
110016,South,Delhi,28.5459,77.1991
110017,South,Delhi,28.5317,77.2146
110018,West,Delhi,28.6464,77.0991
110019,South East,Delhi,28.5417,77.2559
110020,South East,Delhi,28.5505,77.2613
110021,New Delhi,Delhi,28.5887,77.1688
110022,New Delhi,Delhi,28.5630,77.1725
110023,New Delhi,Delhi,28.5739,77.2072
110024,South East,Delhi,28.5741,77.2423
110025,South East,Delhi,28.5614,77.2788
110026,West,Delhi,28.6696,77.1377
110027,West,Delhi,28.6427,77.1178
110028,New Delhi,Delhi,28.6313,77.1369
110029,South,Delhi,28.5686,77.1957
110030,South,Delhi,28.5176,77.1794
110031,Shahdara,Delhi,28.6628,77.2677
110032,Shahdara,Delhi,28.6739,77.2946
110033,North,Delhi,28.7274,77.1742
110034,North West,Delhi,28.6973,77.1367
110035,North West,Delhi,28.6754,77.1579
110036,North,Delhi,28.7978,77.1300
110037,New Delhi,Delhi,28.5400,77.1155
110038,New Delhi,Delhi,28.5197,77.1199
110039,North,Delhi,28.7997,77.0381
110040,North West,Delhi,28.8508,77.0881
110041,West,Delhi,28.6764,77.0378
110042,North,Delhi,28.7441,77.1450
110043,South West,Delhi,28.5999,76.9734
110044,South,Delhi,28.5300,77.2125
110045,South West,Delhi,28.5968,77.0900
110046,New Delhi,Delhi,28.6111,77.1059
110047,South,Delhi,28.4699,77.1290
110048,South East,Delhi,28.5438,77.2392
110049,South East,Delhi,28.5598,77.2156
110051,Shahdara,Delhi,28.6690,77.3020
110052,North,Delhi,28.6864,77.1767
110053,North East,Delhi,28.6872,77.2706
110054,Central,Delhi,28.6976,77.2229
110055,Central,Delhi,28.6425,77.2023
110056,North West,Delhi,28.6827,77.1111
110057,New Delhi,Delhi,28.5629,77.1576
110058,West,Delhi,28.6241,77.0966
110059,West,Delhi,28.6192,77.0517
110060,Central,Delhi,28.6367,77.1831
110061,New Delhi,Delhi,28.5400,77.0500
110062,South,Delhi,28.5201,77.2398
110063,West,Delhi,28.6687,77.1088
110064,West,Delhi,28.6268,77.1167
110065,South East,Delhi,28.5587,77.2513
110066,New Delhi,Delhi,28.5626,77.1781
110067,New Delhi,Delhi,28.5508,77.1762
110068,South,Delhi,28.5012,77.2003
110069,New Delhi,Delhi,28.6226,77.2127
110070,New Delhi,Delhi,28.5200,77.1579
110071,South West,Delhi,28.5462,76.9902
110072,South West,Delhi,28.6526,76.9565
